nitrate_mid,phosphate_mid,avg_spills,n_overflows,spills_per_pipe,lc_woodland_1km,lc_arable_1km,lc_grass_1km,lc_wetland_1km,lc_urban_1km,lc_water_1km,lc_woodland_5km,lc_arable_5km,lc_grass_5km,lc_wetland_5km,lc_urban_5km,lc_water_5km
3.5,0.035,39.4375,4.0,35.75,32.47761194029851,12.17910447761194,42.42786069651741,0.0,11.144278606965177,1.0746268656716418,21.32256830426882,13.92944814614085,44.46313004112603,0.0549941020818057,18.84066056683776,0.9285236076130964
3.5,0.075,39.4375,4.0,35.75,6.8697729988052565,6.232576662684189,28.85304659498208,0.0,55.95380326563122,1.3938669852648349,21.98337358424396,13.495612252217784,41.485537568845,0.1857121222990045,20.896997521181543,1.4195420163713606
1.5,0.035,46.88,2.0,61.0,16.400638467677574,19.553072625698324,46.54828411811652,0.0,13.447725458898644,0.3790901835594573,25.00119554301564,13.238646326494829,43.97685428721726,0.2725838075653962,15.090940972056174,1.7821561219772686
3.5,0.035,46.88,2.0,61.0,16.301751592356688,19.605891719745223,46.43710191082803,0.0,13.614649681528665,0.3781847133757962,24.995217599234813,13.25043838673681,43.97018970189702,0.2725968436154949,15.091662681332696,1.7822413518252829
3.5,0.075,39.4375,4.0,35.75,3.7679425837320575,0.0,6.678628389154705,0.0,86.78229665071771,2.7711323763955344,21.624379239703156,12.813767925325426,36.80959099568756,0.2558767965181625,26.68850786362803,1.3144574375652645
0.35,0.01,46.88,2.0,61.0,7.936191425722831,2.253240279162512,20.677966101694917,0.518444666001994,59.26221335992024,9.351944167497509,23.452283216030736,11.508142102200718,35.83481456093225,0.2558604803162786,27.242366031930747,1.2569843534541163
7.5,0.075,0.0,0.0,0.0,17.21735668789809,40.664808917197455,37.44028662420382,0.0,4.677547770700636,0.0,19.70333410382509,31.65684953890053,42.389268378221125,0.0,5.821729461745084,0.2733917312949841
7.5,0.075,0.0,0.0,0.0,17.74322169059011,31.95773524720893,43.00239234449761,0.0,6.718500797448165,0.5781499202551834,19.85876088983828,30.612700361068377,43.15683758299392,0.0,6.014618088489651,0.2016562915965917
1.5,0.01,0.0,0.0,0.0,29.520958083832333,33.13373253493014,32.79441117764471,0.0,4.411177644710579,0.1397205588822355,24.267085399097702,16.892505858534328,39.31913469049403,0.2558625197277177,17.660890497218194,1.3821358542301008
0.1,0.01,61.305,2.0,60.0,40.62562263399083,11.77525403466826,33.77166766288105,0.0,11.45646543136083,0.3586371787208607,25.27736155832563,12.523511971179902,41.2894124398253,0.2104122166608218,19.175407275161792,1.3326107055185386
0.35,0.01,61.305,2.0,60.0,40.58952399920335,21.509659430392357,28.719378609838675,0.0,7.647878908583948,0.1991635132443736,25.03487139429783,13.422497828010298,39.3229768613354,0.2558564015909326,20.313085341261427,1.4028263763241169
7.5,0.035,0.0,0.0,0.0,17.26403823178017,40.74074074074074,37.31581043409,0.0,4.679410593389088,0.0,19.710821862122287,31.6262683426458,42.40429144182561,0.0,5.832184219545828,0.2710048701169306
3.5,0.01,4.02,2.0,11.5,12.348379399483,28.912308610061643,43.54742493537482,0.0,14.356730960429507,0.8351560946510241,16.047404998724815,52.94488013261923,27.2985207855139,0.3984952818158633,3.195932160163224,0.1147666411629686
7.5,0.075,4.02,2.0,11.5,12.168890659231227,30.412268472415853,42.780322644891456,0.0,13.762198765186218,0.876319458275244,16.005228799846964,52.90891845144628,27.381056759578826,0.3985365737013686,3.19148088220056,0.1147785332259941
3.5,0.01,4.02,2.0,11.5,12.348379399483,28.912308610061643,43.54742493537482,0.0,14.356730960429507,0.8351560946510241,16.047404998724815,52.94488013261923,27.2985207855139,0.3984952818158633,3.195932160163224,0.1147666411629686
7.5,0.01,4.02,2.0,11.5,12.168890659231227,30.412268472415853,42.780322644891456,0.0,13.762198765186218,0.876319458275244,16.005228799846964,52.90891845144628,27.381056759578826,0.3985365737013686,3.19148088220056,0.1147785332259941
7.5,0.01,4.02,2.0,11.5,12.71964856230032,27.99520766773163,44.08945686900959,0.0,14.337060702875398,0.8586261980830672,16.0557880055788,53.000199242877066,27.24048615262004,0.3984857541342897,3.1918708906156605,0.1131699541741382
7.5,0.035,4.02,2.0,11.5,12.348379399483,28.912308610061643,43.54742493537482,0.0,14.356730960429507,0.8351560946510241,16.047404998724815,52.94488013261923,27.2985207855139,0.3984952818158633,3.195932160163224,0.1147666411629686
1.5,0.01,4.02,2.0,11.5,12.348379399483,28.912308610061643,43.54742493537482,0.0,14.356730960429507,0.8351560946510241,16.047404998724815,52.94488013261923,27.2985207855139,0.3984952818158633,3.195932160163224,0.1147666411629686
3.5,0.01,4.02,2.0,11.5,12.348379399483,28.912308610061643,43.54742493537482,0.0,14.356730960429507,0.8351560946510241,16.047404998724815,52.94488013261923,27.2985207855139,0.3984952818158633,3.195932160163224,0.1147666411629686
7.5,0.035,4.02,2.0,11.5,12.71964856230032,27.99520766773163,44.08945686900959,0.0,14.337060702875398,0.8586261980830672,16.0557880055788,53.000199242877066,27.24048615262004,0.3984857541342897,3.1918708906156605,0.1131699541741382
0.1,0.01,4.02,2.0,11.5,12.348379399483,28.912308610061643,43.54742493537482,0.0,14.356730960429507,0.8351560946510241,16.047404998724815,52.94488013261923,27.2985207855139,0.3984952818158633,3.195932160163224,0.1147666411629686
7.5,0.01,4.02,2.0,11.5,12.348379399483,28.912308610061643,43.54742493537482,0.0,14.356730960429507,0.8351560946510241,16.047404998724815,52.94488013261923,27.2985207855139,0.3984952818158633,3.195932160163224,0.1147666411629686
3.5,0.01,4.02,2.0,11.5,12.348379399483,28.912308610061643,43.54742493537482,0.0,14.356730960429507,0.8351560946510241,16.047404998724815,52.94488013261923,27.2985207855139,0.3984952818158633,3.195932160163224,0.1147666411629686
3.5,0.01,4.02,2.0,11.5,12.348379399483,28.912308610061643,43.54742493537482,0.0,14.356730960429507,0.8351560946510241,16.047404998724815,52.94488013261923,27.2985207855139,0.3984952818158633,3.195932160163224,0.1147666411629686
3.5,0.01,4.02,2.0,11.5,12.348379399483,28.912308610061643,43.54742493537482,0.0,14.356730960429507,0.8351560946510241,16.047404998724815,52.94488013261923,27.2985207855139,0.3984952818158633,3.195932160163224,0.1147666411629686
3.5,0.01,4.02,2.0,11.5,12.348379399483,28.912308610061643,43.54742493537482,0.0,14.356730960429507,0.8351560946510241,16.047404998724815,52.94488013261923,27.2985207855139,0.3984952818158633,3.195932160163224,0.1147666411629686
7.5,0.035,4.02,2.0,11.5,12.348379399483,28.912308610061643,43.54742493537482,0.0,14.356730960429507,0.8351560946510241,16.047404998724815,52.94488013261923,27.2985207855139,0.3984952818158633,3.195932160163224,0.1147666411629686
7.5,0.01,4.02,2.0,11.5,12.71964856230032,27.99520766773163,44.08945686900959,0.0,14.337060702875398,0.8586261980830672,16.0557880055788,53.000199242877066,27.24048615262004,0.3984857541342897,3.1918708906156605,0.1131699541741382
3.5,0.075,4.02,2.0,11.5,12.348379399483,28.912308610061643,43.54742493537482,0.0,14.356730960429507,0.8351560946510241,16.047404998724815,52.94488013261923,27.2985207855139,0.3984952818158633,3.195932160163224,0.1147666411629686
3.5,0.035,4.02,2.0,11.5,12.348379399483,28.912308610061643,43.54742493537482,0.0,14.356730960429507,0.8351560946510241,16.047404998724815,52.94488013261923,27.2985207855139,0.3984952818158633,3.195932160163224,0.1147666411629686
7.5,0.01,4.02,2.0,11.5,12.348379399483,28.912308610061643,43.54742493537482,0.0,14.356730960429507,0.8351560946510241,16.047404998724815,52.94488013261923,27.2985207855139,0.3984952818158633,3.195932160163224,0.1147666411629686
7.5,0.035,4.02,2.0,11.5,12.348379399483,28.912308610061643,43.54742493537482,0.0,14.356730960429507,0.8351560946510241,16.047404998724815,52.94488013261923,27.2985207855139,0.3984952818158633,3.195932160163224,0.1147666411629686
7.5,0.035,0.0,0.0,0.0,11.81510261008169,46.00518031480375,36.979477983662086,0.0,4.821677625024905,0.3785614664275752,14.431009333726555,48.71153125722347,33.40692975394352,0.0,3.4011111199674797,0.0494185351389697
7.5,0.035,0.27,2.0,0.5,6.389331210191084,50.51751592356688,39.15207006369427,0.0,3.94108280254777,0.0,11.513663858715145,45.24972704160922,38.11455485865935,0.0,5.122054241016282,0.0
7.5,0.01,0.27,2.0,0.5,6.348572569375125,50.86843681373527,39.04971052106209,0.0,3.7332800958275114,0.0,11.493217718411785,45.27870315762628,38.1082933516107,0.0,5.1197857723512445,0.0
3.5,0.01,0.27,2.0,0.5,6.343506882106523,50.987432675044886,38.95870736086176,0.0,3.710353081986834,0.0,11.48548471949878,45.29468968705661,38.10002072472779,0.0,5.1198048687168205,0.0
3.5,0.01,0.27,2.0,0.5,6.358381502890173,50.64779748853897,39.14690053817022,0.0,3.846920470400638,0.0,11.490148568513678,45.24803927819933,38.14480647835236,0.0,5.117005674934642,0.0
3.5,0.035,95.21,2.0,65.0,39.50199203187251,11.772908366533864,41.09561752988048,0.0,7.609561752988048,0.0,20.922669812373467,17.327158820997592,42.885495209704935,0.0,13.627233744081874,3.730213132263156
7.5,0.075,95.21,2.0,65.0,5.829685634699562,28.13370473537605,58.43613211301234,0.0,4.874651810584958,2.4074810982888977,22.457340060094523,15.938598378882432,43.94950147048275,0.0167372020180283,13.058205612541745,3.350628442085296
7.5,0.035,95.21,2.0,65.0,5.7838053450339055,27.702433187076185,58.87514958117272,0.0,4.846429996011168,2.413242919824492,22.61165536097184,15.81947023985078,43.858656229823126,0.0167393366440021,13.1252341514352,3.3159828780499474
3.5,0.075,95.21,2.0,65.0,13.467677573822826,2.4341580207502,15.74221867517957,0.0,34.57701516360734,33.778930566640064,17.09259318305009,16.32815738290342,39.37203073685553,0.0,21.931894270318526,5.025029493352038
3.5,0.035,95.21,2.0,65.0,9.312063808574276,0.0,26.739780658025925,0.0,28.873379860418748,35.074775672981055,13.016308246584517,15.876229495129843,37.2220185241276,0.0,28.285960241674506,5.4496325463501725
0.1,0.15,0.0,0.0,0.0,15.6686626746507,28.283433133732533,39.34131736526946,0.0,16.706586826347305,0.0,22.756152196615197,28.86171408528176,35.07330022400612,0.0,11.543091284487774,0.1953078290538332
